Project Id,Project Title,Company Name,Category Name,
1,Gossip Girl Fall 2011,Warner Brothers Entertainment,Television,
6,Person of Interest Fall '11,Warner Brothers Entertainment Inc.,Television,
7,Times Square Films,Holding for Time Square Films,Feature Film,
44,Marcher,NBC Universal Media LLC,Feature Film,
47,Letterman renewal 2011-12,Worldwide Pants Incorporated,Television,
49,SMASH,NBC Universal Media Studios,Television,
65,Anderson Cooper,ANE Productions,Television,
66,Nous York,"Spad Films NY, LLC",Feature Film,
74,Law  Order: SVU,"Universal Network Television, LLC",Television,
89,The Good Wife Spring 2012,CBS Productions,Television,
117,Departures,Reilly Worldwide Inc.,Television,
120,Nurse Jackie,Nurse Productions,Television,
126,Magnus Rex,Subconscious Productions,Feature Film,
131,The Revolution,"Snafu, LLC",Television,
136,The Challenge TV Shoot at Metropolis Studios 105 E. 106th St.,Winick  Productions LLC,Television,
140,English Vinglish,Curbside Films,Feature Film,
144,Good Morning America  Fall '11,Walt Disney Co.,Television,
162,Five Years,Columbia University,Student,
169,Forty,Queens Blvd Productions LLC for Warner Bros. Entertainment,Television,
172,HOME BY NOVOGRATZ-SEASON 2,LEFT RIGHT,Television,
177,A Gifted Man,CBS Studios,Television,
185,Pan Am Fall 2011,Woodridge Productions Inc,Television,
226,Unforgettable,Woodridge Productions Inc.,Television,
227,Blue Bloods,CBS Productions,Television,
235,30 Rock,30 Rock,Television,
241,"Lion Television, Inc. - Development",Lion Television,Television,
267,Broken City,"Georgia Film Fund Seven Productions, LLC",Feature Film,
268,NES Wedding SMT,New England Satellite Systems,Television,
277,CONAN,Conaco LLC,Television,
290,The Chew Season 1,"CHEW PRODUCTIONS, INC",Television,
297,The Most Dangerous Animal or -- What Ever Happened to 'Thou Shalt Not Kill',AL SUTTON PRODUCTIONS,Documentary,
298,Extra TV,TTT West Coast-WB Bros.,Television,
304,Barbara Walters Special,Barwall Productions,Television,
308,Delocated Season 3,Nothin But Ducklins,Television,
309,Rachael Ray,CBS Corporation - Rachael Ray,Television,
321,October 2011 Grid Requests,Not Applicable,Feature Film,
323,November 2011 Grid Requests ,Not Applicable,Feature Film,
346,The Martha Stewart Show,"MARTHA STEWART LIVING OMNIMEDIA, INC.",Television,
351,Erroneous Convictions,Heights Productions LLC,Television,
360,The Good Wife Spring 2012 B UNIT,CBS Productions,Television,
368,Kelsey's Essentials: Season 3,"Rock Shrimp Productions, LLC",Television,
384,Fox and Friends,Fox News Channel,Television,
400,Macaroon,New York Film Academy,Student,
404,HairBrained,Brains and Brains inc,Feature Film,
415,EMOTICON,EMOTICON LLC,Feature Film,
420,SIGGY,Left Right Inc,Television,
421,Da Brick,"Radio Free Dixie Productions, LLC",Television,
429,Lily,"Shari Creed Strategic Imaging, LLC",Feature Film,
433,F-ckers.,Reformed Pickpocket Inc,Feature Film,
436,Damages - Season 5,"Canterbury Productions, Inc.",Television,
446,New Short City,New York University Student Film Production,Student,
456,Ask Geoffrey,New York University,Student,
457,Disconnect,"Disconnect, LLC",Feature Film,
459,Mutual Friends,Mutual Friends LLC,Feature Film,
460,Victoria's Secret Fashion Show 2011,Victoria's Secret - Linited Brands,Television,
461,THE HIERARCHY,New York Film Academy,Student,
469,Blue Harvest,New York University,Student,
476,The Colbert Report,Viacom for The Colbert Report ,Television,
478,World War Z VFX Photo Shoot,High Command Productions Ltd,Still Photography,
484,Hell on Wheels On Air Promo Spot,Marlin Entertainment Group LTD,Television,
488,Basketball Wives 4,Shed Media,Television,
489,CONAN OBRIAN SHOW,KINGDOM ENTERTAINMENT,Television,
491,HARPER'S,The Custom Family,Still Photography,
493,Slice of Brooklyn,Happy Owl Media Inc.,Television,
507,An American in Hollywood,V-Twinz Productions,Feature Film,
516,Heisman Trophy Show 2011,Disney - ESPN Television,Television,
522,Good Morning Japan,NHK Japan Broadcasting Corporation,Television,
523,ING NYC Marathon,New York Road Runnners with IMG World and WNBC,Television,
525,Light Years,"Light Years, LLC",Feature Film,
527,Inventive,Media Pantry,Commercial,
529,Michael Buble Christmas Special,Brad Lachman Productions,Television,
530,Tales of the City,New York University,Student,
531,Rocket Man,New York University,Student,
550,Untitled Yoon Project,Artistry Entertainment Group,Commercial,
553,Tanisha,495 Productions,Television,
555,Finding Your Roots,"Kunhardt Productions, Inc.",Documentary,
556,"London, Paris, New York",Smokestack Productions,Feature Film,
560,The Cost of Living,New York Film Academy ,Student,
563,Fuse Networks,Fuse Networks,Television,
566,FRIGG'S OATH: A Norse Myth,School of Visual Arts,Student,
568,Street View,Google Inc.,Still Photography,
570,Thanksgiving Day on CBS 2011,CBS Production - White Cherry Entertainment,Television,
575,Billy on the Street,Funny or Die,Television,
576,Citibank,Smuggler,Commercial,
577,Lanvin,Art and Commerce,Still Photography,
580,Unicorn Boy,New York University,Student,
581,Odd Folks Home,Leftfield Pictures,Television,
582,Bergdorf Goodman Holiday Video,"The Neiman Marcus Group, Inc.",WEB,
584,November Hologram Event,Radical Media,Commercial,
587,TODAY SHOWNBC NEWS,NBCUniversal,Television,
590,Banana-Spring,Stardust Brands for Alsiona,Still Photography,
591,Michael Wyler,Micon Artist Management,Still Photography,
592,Wrong Thing,New York University,Student,
593,Bastards of Young,New York University,Student,
594,Gretsch,Digital Surgeons,Still Photography,
597,NYFA theses,NYFA,Student,
598,Hustler NY,Last Pictures,Commercial,
600,southside the series,first born films,Feature Film,
601,GREENYORK,Virgilio Productions,Feature Film,
606,Neiman Marcus,Management Artists,Still Photography,
607,Interview Winter,Interview Magazine,Still Photography,
608,The Wendy WIlliams Show,The Wendy Williams Show - Talk WW,Television,
609,Madrid Without Gravity,Madrid Without Gravity LLC,Feature Film,
611,Zachary Prell,Chandelier Creative,Still Photography,
613,Dorian Caster for Hearst Chinet Shoot,Ray Brown Productions,Still Photography,
615,Artistry Men Brand Video,Daisy NY,Commercial,
619,The We And The I - additional photography,"Next Stop Productions, LLC",Feature Film,
621,Adoption PSA,Downtown Loft Studio,Commercial,
624,Disney Virtual Memories,A-1 Special Events Llc,Television,
625,TD Bank,Backyard Productions,Commercial,
626,WNBC On Going Campaign,NBC Universal Media Group,Commercial,
627,Day to Night,Stephen Wilkes Photography Inc.,Still Photography,
628,GavinWeb,Rooster Worldwide,WEB,
633,The 22,CBS Productions,Television,
634,Mio,Smuggler,Still Photography,
635,WU - AK,Rocket Entertainment,WEB,
636,St. John,North Six,Still Photography,
637,We Are New York City,American Airlines,Still Photography,
638,Always - Francesca,Leo Burnett ,Still Photography,
639,201152 Target,Joy Asbury Productions,Still Photography,
641,red blue yellow,brooklyn college,Student,
642,Fiona's Tale,Columbia Pictures Industries Inc.,Feature Film,
644,Vista,Metrovision Production Group,Television,
645,Broder Brothers Nov Photoshoot,QuadPhoto,Still Photography,
646,All Mobile Video - Creative Alliance,All Mobile Video,Television,
647,Nissan Leaf,Rooster,Commercial,
648,Apple,C41 Media Corp.,Commercial,
649,Avanti Press Photography Prospect Park,Avanti Press,Still Photography,
655,Carmen Duet,Island Def Jam and Rock Hard Films,Music Video,
656,NAPW,"30fps Productions, Inc.",Commercial,
657,MODERN,"Alsiona, Inc.",Documentary,
658,Hogan,GE-Projects,Still Photography,
659,SyFy Being Human,Leroy and Clarkson,WEB,
660,Alison Is Having A Really Bad Day,"Champipple, Inc.",Television,
664,THE COME UP,8 Feet Tall Production and Post,Feature Film,
665,Barista Prima - A Taste of Italy,Homestead Films,WEB,
666,March Fashion,Cosmopolitan,Still Photography,
670,Jounetsu Tairiku,TopSpin Creative Corp,Television,
671,Microsoft,Hush,Commercial,
672,Bloomberg Nasdaq,Metrovision Production Group,Television,
673,Danish Corporate Video,Game 7 Films,Commercial,
674,Radical Media - Target,Radical Media,Commercial,
675,KFC,Park Pictures,Commercial,
677,Scorned - Crimes of Passion,Optomen Productions USA,Television,
678,Dior - Spring 2012,North Six,Still Photography,
679,CH Media,College Humor,WEB,
680,Black Spot - Samsung Galaxy,Black Spot,Commercial,
681,Property Virgins,Cineflix Property 8 Inc,Television,
682,New York And Company,"Atlas Productions, NY",Still Photography,
683,Shilo MetroPCS,Shilo,Commercial,
684,BE Magazine,"Joshua Jordan, Inc",Still Photography,
686,Win For Life,UV Phactory and AI Pictures,Commercial,
687,Tool - Verizon,Tool of North America,Commercial,
689,Avon,Urban Production NYC,Still Photography,
690,New Amsterdam Shorts,NYU,Student,
691,Insanity 3,Mayhew Breen Productions,Commercial,
